Sl No,NO OF ACCIDENT REPORTED ON THIS CORRIDOR UNDER JURISDICTION,FIR NO,Latitude,Longitude,Distance,NO. OF VEHICLE,Date,DAY OF THE WEEK,Month of the year,Year of Accident,Time,D/N,PATTERN OF COLLISION,TYPE OF COLLISION,TYPE OF VEHICLE-1,TYPE OF VEHICLE-2,FATAL,GRIEVOUS,MINOR,SEVERITY,GEOMETRY,PRESENCE OF MEDIAN,PRESENCE OF SHOULDER,PRESENCE OF FOOTPATH,SIDE ROAD,JN/NOT,day_night_label,year,month_num,day,day_of_week,week_of_year,hour,minute,time_bucket,PATTERN_OF_COLLISION_CODE,PATTERN_OF_COLLISION_LABEL,PATTERN_OF_COLLISION_UNKNOWN,TYPE_OF_COLLISION_CODE,TYPE_OF_COLLISION_LABEL,TYPE_OF_COLLISION_UNKNOWN,TYPE_OF_VEHICLE_1_CODE,TYPE_OF_VEHICLE_1_LABEL,TYPE_OF_VEHICLE_1_UNKNOWN,TYPE_OF_VEHICLE_2_CODE,TYPE_OF_VEHICLE_2_LABEL,TYPE_OF_VEHICLE_2_UNKNOWN,is_weekend,is_night,severity_target
523.0,Chadayamangalam,382/2021,8.881159,76.867775,39.5,1.0,2021-03-18,Thursday,March,2021,18.0,D,3.0,8,1.0,11.0,0.0,1.0,0.0,G,straight,no,yes,no,1.0,no,Day,2021.0,3,18,Thursday,11,18.0,0.0,18-24,3,Vehicle to Pedestrian,False,8,Hit Pedestrian,False,1,Motorised Two-Wheeler,False,11,Pedestrian,False,0,0,Grievous
524.0,Chadayamangalam,441/2021,8.892401,76.864817,41.0,2.0,2021-03-31,Wednesday,March,2021,14.3,D,2.0,1,3.0,1.0,0.0,2.0,0.0,G,straight,no,yes,no,2.0,no,Day,2021.0,3,31,Wednesday,13,14.0,30.0,12-18,2,Vehicle to Vehicle,False,1,Hit from Back,False,3,Car/Jeep/Taxi,False,1,Motorised Two-Wheeler,False,0,0,Grievous
525.0,Chadayamangalam,447/2021,8.895166,76.862158,41.4,2.0,2021-03-30,Tuesday,March,2021,19.0,N,2.0,1,3.0,1.0,0.0,1.0,0.0,G,straight,no,yes,yes,0.0,no,Night,2021.0,3,30,Tuesday,13,19.0,0.0,18-24,2,Vehicle to Vehicle,False,1,Hit from Back,False,3,Car/Jeep/Taxi,False,1,Motorised Two-Wheeler,False,0,1,Grievous
526.0,Chadayamangalam,449/2021,8.874192,76.869286,38.6,1.0,2021-03-06,Saturday,March,2021,10.3,D,3.0,8,2.0,11.0,0.0,1.0,0.0,G,straight,no,yes,yes,3.0,no,Day,2021.0,3,6,Saturday,9,10.0,30.0,6-12,3,Vehicle to Pedestrian,False,8,Hit Pedestrian,False,2,Passenger Auto,False,11,Pedestrian,False,1,0,Grievous
527.0,Chadayamangalam,452/2021,8.894559,76.862909,41.3,2.0,2021-04-03,Saturday,April,2021,19.0,N,2.0,2,3.0,1.0,0.0,2.0,0.0,G,straight,no,yes,no,0.0,no,Night,2021.0,4,3,Saturday,13,19.0,0.0,18-24,2,Vehicle to Vehicle,False,2,Hit from Side,False,3,Car/Jeep/Taxi,False,1,Motorised Two-Wheeler,False,1,1,Grievous
528.0,Chadayamangalam,471/2021,8.845375,76.878686,35.0,2.0,2021-03-31,Wednesday,March,2021,18.15,N,2.0,2,1.0,1.0,0.0,1.0,0.0,G,curve,no,yes,no,2.0,no,Night,2021.0,3,31,Wednesday,13,18.0,15.0,18-24,2,Vehicle to Vehicle,False,2,Hit from Side,False,1,Motorised Two-Wheeler,False,1,Motorised Two-Wheeler,False,0,1,Grievous
529.0,Chadayamangalam,472/2021,8.87314179161846,76.8693563649041,38.5,1.0,2021-04-09,Friday,April,2021,20.0,N,3.0,8,3.0,11.0,0.0,1.0,0.0,G,straight,no,yes,yes,0.0,no,Night,2021.0,4,9,Friday,14,20.0,0.0,18-24,3,Vehicle to Pedestrian,False,8,Hit Pedestrian,False,3,Car/Jeep/Taxi,False,11,Pedestrian,False,0,1,Grievous
530.0,Chadayamangalam,475/2021,8.823812,76.882486,32.5,1.0,2021-04-03,Saturday,April,2021,14.45,D,3.0,8,1.0,11.0,0.0,1.0,0.0,G,curve,no,yes,yes,0.0,yes,Day,2021.0,4,3,Saturday,13,14.0,45.0,12-18,3,Vehicle to Pedestrian,False,8,Hit Pedestrian,False,1,Motorised Two-Wheeler,False,11,Pedestrian,False,1,0,Grievous
531.0,Chadayamangalam,507/2021,8.841687,76.879856,34.6,2.0,2021-04-22,Thursday,April,2021,20.15,N,2.0,1,1.0,3.0,0.0,1.0,0.0,G,straight,no,yes,no,2.0,no,Night,2021.0,4,22,Thursday,16,20.0,15.0,18-24,2,Vehicle to Vehicle,False,1,Hit from Back,False,1,Motorised Two-Wheeler,False,3,Car/Jeep/Taxi,False,0,1,Grievous
532.0,Chadayamangalam,524/2021,8.887488,76.868786,40.3,2.0,2021-04-18,Sunday,April,2021,13.3,D,2.0,5,3.0,3.0,0.0,0.0,1.0,M,curve,no,yes,yes,1.0,no,Day,2021.0,4,18,Sunday,15,13.0,30.0,12-18,2,Vehicle to Vehicle,False,5,Head On Collision,False,3,Car/Jeep/Taxi,False,3,Car/Jeep/Taxi,False,1,0,Minor
533.0,Chadayamangalam,542/2021,8.887488,76.868786,40.3,2.0,2021-04-12,Monday,April,2021,12.45,D,2.0,1,8.0,1.0,0.0,1.0,0.0,G,curve,no,yes,yes,1.0,no,Day,2021.0,4,12,Monday,15,12.0,45.0,12-18,2,Vehicle to Vehicle,False,1,Hit from Back,False,8,Truck/Lorry,False,1,Motorised Two-Wheeler,False,0,0,Grievous
534.0,Chadayamangalam,563/2021,8.872648,76.869509,38.4,2.0,2021-02-28,Sunday,February,2021,10.3,D,2.0,2,1.0,1.0,0.0,1.0,0.0,G,curve,no,yes,yes,0.0,yes,Day,2021.0,2,28,Sunday,8,10.0,30.0,6-12,2,Vehicle to Vehicle,False,2,Hit from Side,False,1,Motorised Two-Wheeler,False,1,Motorised Two-Wheeler,False,1,0,Grievous
535.0,Chadayamangalam,739/2021,8.888394,76.867677,40.4,2.0,2021-06-28,Monday,June,2021,9.0,D,2.0,5,3.0,1.0,0.0,1.0,0.0,G,curve,no,yes,yes,0.0,no,Day,2021.0,6,28,Monday,26,9.0,0.0,6-12,2,Vehicle to Vehicle,False,5,Head On Collision,False,3,Car/Jeep/Taxi,False,1,Motorised Two-Wheeler,False,0,0,Grievous
536.0,Chadayamangalam,741/2021,8.841687,76.879856,34.6,2.0,2021-01-13,Wednesday,January,2021,12.0,D,2.0,2,1.0,3.0,0.0,0.0,1.0,M,straight,no,yes,no,2.0,no,Day,2021.0,1,13,Wednesday,2,12.0,0.0,12-18,2,Vehicle to Vehicle,False,2,Hit from Side,False,1,Motorised Two-Wheeler,False,3,Car/Jeep/Taxi,False,0,0,Minor
537.0,Chadayamangalam,763/2021,8.823812,76.882486,32.5,1.0,2021-07-07,Wednesday,July,2021,7.4,D,3.0,8,1.0,11.0,0.0,1.0,0.0,G,curve,no,yes,yes,0.0,yes,Day,2021.0,7,7,Wednesday,27,7.0,40.0,6-12,3,Vehicle to Pedestrian,False,8,Hit Pedestrian,False,1,Motorised Two-Wheeler,False,11,Pedestrian,False,0,0,Grievous
538.0,Chadayamangalam,768/2021,8.861862,76.873052,37.1,2.0,2021-07-02,Friday,July,2021,16.45,D,2.0,1,1.0,1.0,0.0,1.0,0.0,G,straight,no,yes,no,1.0,no,Day,2021.0,7,2,Friday,26,16.0,45.0,12-18,2,Vehicle to Vehicle,False,1,Hit from Back,False,1,Motorised Two-Wheeler,False,1,Motorised Two-Wheeler,False,0,0,Grievous
539.0,Chadayamangalam,780/2021,8.832256,76.88154,33.5,2.0,2021-05-07,Friday,May,2021,12.3,D,2.0,2,3.0,1.0,0.0,1.0,0.0,G,straight,no,yes,no,3.0,no,Day,2021.0,5,7,Friday,18,12.0,30.0,12-18,2,Vehicle to Vehicle,False,2,Hit from Side,False,3,Car/Jeep/Taxi,False,1,Motorised Two-Wheeler,False,0,0,Grievous
540.0,Chadayamangalam,784/2021,8.869386,76.870377,38.0,2.0,2021-07-08,Thursday,July,2021,14.3,D,2.0,5,6.0,1.0,0.0,1.0,0.0,G,straight,no,yes,no,2.0,no,Day,2021.0,7,8,Thursday,27,14.0,30.0,12-18,2,Vehicle to Vehicle,False,5,Head On Collision,False,6,Goods Auto/Goods Pick-up Van,False,1,Motorised Two-Wheeler,False,0,0,Grievous
541.0,Chadayamangalam,900/2021,8.891535,76.865899,40.9,2.0,2021-07-11,Sunday,July,2021,18.3,N,2.0,2,3.0,1.0,0.0,1.0,1.0,G,straight,no,yes,no,0.0,no,Night,2021.0,7,11,Sunday,27,18.0,30.0,18-24,2,Vehicle to Vehicle,False,2,Hit from Side,False,3,Car/Jeep/Taxi,False,1,Motorised Two-Wheeler,False,1,1,Grievous
542.0,Chadayamangalam,936/2021,8.870708,76.870443,38.2,1.0,2021-03-16,Tuesday,March,2021,9.3,D,3.0,8,1.0,11.0,0.0,0.0,1.0,M,straight,no,yes,no,1.0,no,Day,2021.0,3,16,Tuesday,11,9.0,30.0,6-12,3,Vehicle to Pedestrian,False,8,Hit Pedestrian,False,1,Motorised Two-Wheeler,False,11,Pedestrian,False,0,0,Minor
543.0,Chadayamangalam,940/2021,8.897753,76.860343,41.8,2.0,2021-04-22,Thursday,April,2021,11.45,D,2.0,1,1.0,1.0,0.0,1.0,0.0,G,straight,no,yes,yes,0.0,yes,Day,2021.0,4,22,Thursday,16,11.0,45.0,6-12,2,Vehicle to Vehicle,False,1,Hit from Back,False,1,Motorised Two-Wheeler,False,1,Motorised Two-Wheeler,False,0,0,Grievous
544.0,Chadayamangalam,941/2021,8.839496,76.880376,34.3,2.0,2021-08-05,Thursday,August,2021,18.0,D,2.0,2,1.0,2.0,0.0,1.0,0.0,G,straight,no,yes,no,1.0,no,Day,2021.0,8,5,Thursday,31,18.0,0.0,18-24,2,Vehicle to Vehicle,False,2,Hit from Side,False,1,Motorised Two-Wheeler,False,2,Passenger Auto,False,0,0,Grievous
545.0,Chadayamangalam,961/2021,8.891574,76.865929,40.9,2.0,2021-07-26,Monday,July,2021,19.45,N,2.0,1,3.0,3.0,0.0,0.0,1.0,M,straight,no,yes,no,0.0,no,Night,2021.0,7,26,Monday,30,19.0,45.0,18-24,2,Vehicle to Vehicle,False,1,Hit from Back,False,3,Car/Jeep/Taxi,False,3,Car/Jeep/Taxi,False,0,1,Minor
546.0,Chadayamangalam,984/2021,8.823812,76.882486,32.5,2.0,2021-08-03,Tuesday,August,2021,7.3,D,2.0,5,3.0,2.0,0.0,1.0,0.0,G,curve,no,yes,yes,0.0,yes,Day,2021.0,8,3,Tuesday,31,7.0,30.0,6-12,2,Vehicle to Vehicle,False,5,Head On Collision,False,3,Car/Jeep/Taxi,False,2,Passenger Auto,False,0,0,Grievous
547.0,Chadayamangalam,487/2022,8.891535,76.865899,40.9,2.0,2022-03-26,Saturday,March,2022,10.45,D,2.0,2,3.0,1.0,1.0,0.0,0.0,F,straight,no,yes,no,0.0,no,Day,2022.0,3,26,Saturday,12,10.0,45.0,6-12,2,Vehicle to Vehicle,False,2,Hit from Side,False,3,Car/Jeep/Taxi,False,1,Motorised Two-Wheeler,False,1,0,Fatal
548.0,Chadayamangalam,595/2022,8.84187,76.879576,34.6,1.0,2022-04-17,Sunday,April,2022,22.0,N,3.0,8,3.0,11.0,1.0,0.0,0.0,F,straight,no,yes,no,2.0,no,Night,2022.0,4,17,Sunday,15,22.0,0.0,18-24,3,Vehicle to Pedestrian,False,8,Hit Pedestrian,False,3,Car/Jeep/Taxi,False,11,Pedestrian,False,1,1,Fatal
549.0,Chadayamangalam,1026/2022,8.852074,76.874175,35.9,2.0,2022-07-11,Monday,July,2022,14.45,D,2.0,3,3.0,8.0,1.0,2.0,0.0,F,curve,no,yes,no,1.0,no,Day,2022.0,7,11,Monday,28,14.0,45.0,12-18,2,Vehicle to Vehicle,False,3,Run Off Road,False,3,Car/Jeep/Taxi,False,8,Truck/Lorry,False,0,0,Fatal
550.0,Chadayamangalam,1051/2022,8.897576,76.860459,41.8,1.0,2022-07-16,Saturday,July,2022,6.45,D,3.0,8,4.0,11.0,1.0,0.0,0.0,F,straight,no,yes,yes,0.0,yes,Day,2022.0,7,16,Saturday,28,6.0,45.0,6-12,3,Vehicle to Pedestrian,False,8,Hit Pedestrian,False,4,Bus,False,11,Pedestrian,False,1,0,Fatal
551.0,Chadayamangalam,1783/2022,8.841819,76.879764,34.6,1.0,2022-11-25,Friday,November,2022,15.3,D,3.0,8,1.0,11.0,1.0,0.0,0.0,F,straight,no,yes,no,2.0,no,Day,2022.0,11,25,Friday,47,15.0,30.0,12-18,3,Vehicle to Pedestrian,False,8,Hit Pedestrian,False,1,Motorised Two-Wheeler,False,11,Pedestrian,False,0,0,Fatal
552.0,Chadayamangalam,1955/2022,8.891574,76.865929,40.9,2.0,2022-12-27,Tuesday,December,2022,21.3,N,2.0,5,3.0,1.0,1.0,0.0,0.0,F,straight,no,yes,no,0.0,no,Night,2022.0,12,27,Tuesday,52,21.0,30.0,18-24,2,Vehicle to Vehicle,False,5,Head On Collision,False,3,Car/Jeep/Taxi,False,1,Motorised Two-Wheeler,False,0,1,Fatal
553.0,Chadayamangalam,7/2022,8.819954,76.882417,32.1,1.0,2021-12-18,Saturday,December,2021,1.0,N,1.0,3,5.0,14.0,0.0,0.0,1.0,M,straight,no,yes,no,0.0,no,Night,2021.0,12,18,Saturday,50,1.0,0.0,0-6,1,Single Vehicle,False,3,Run Off Road,False,5,Mini Bus/Passenger Tempo/Passenger Van,False,14,Others (Specify),False,1,1,Minor
554.0,Chadayamangalam,18/2022,8.849042,76.876827,35.5,2.0,2021-12-21,Tuesday,December,2021,17.15,D,2.0,2,3.0,1.0,0.0,1.0,0.0,G,straight,no,yes,no,0.0,no,Day,2021.0,12,21,Tuesday,51,17.0,15.0,12-18,2,Vehicle to Vehicle,False,2,Hit from Side,False,3,Car/Jeep/Taxi,False,1,Motorised Two-Wheeler,False,0,0,Grievous
555.0,Chadayamangalam,43/2022,8.907442,76.854305,43.1,1.0,2021-12-27,Monday,December,2021,16.3,D,3.0,8,3.0,11.0,0.0,1.0,0.0,G,curve,no,yes,no,0.0,no,Day,2021.0,12,27,Monday,52,16.0,30.0,12-18,3,Vehicle to Pedestrian,False,8,Hit Pedestrian,False,3,Car/Jeep/Taxi,False,11,Pedestrian,False,0,0,Grievous
556.0,Chadayamangalam,57/2022,8.850997,76.87503,35.8,2.0,2022-01-06,Thursday,January,2022,19.3,N,2.0,2,1.0,1.0,0.0,0.0,1.0,M,curve,no,yes,no,1.0,no,Night,2022.0,1,6,Thursday,1,19.0,30.0,18-24,2,Vehicle to Vehicle,False,2,Hit from Side,False,1,Motorised Two-Wheeler,False,1,Motorised Two-Wheeler,False,0,1,Minor
557.0,Chadayamangalam,78/2022,8.819954,76.882417,32.1,2.0,2022-01-01,Saturday,January,2022,17.5,D,2.0,1,8.0,1.0,0.0,2.0,0.0,G,straight,no,yes,no,0.0,no,Day,2022.0,1,1,Saturday,52,17.0,50.0,12-18,2,Vehicle to Vehicle,False,1,Hit from Back,False,8,Truck/Lorry,False,1,Motorised Two-Wheeler,False,1,0,Grievous
558.0,Chadayamangalam,105/2022,8.850642,76.875593,35.7,2.0,2022-01-10,Monday,January,2022,9.0,D,2.0,5,3.0,1.0,0.0,0.0,1.0,M,curve,no,yes,no,1.0,no,Day,2022.0,1,10,Monday,2,9.0,0.0,6-12,2,Vehicle to Vehicle,False,5,Head On Collision,False,3,Car/Jeep/Taxi,False,1,Motorised Two-Wheeler,False,0,0,Minor
559.0,Chadayamangalam,125/2022,8.809635,76.882978,30.9,1.0,2022-01-16,Sunday,January,2022,10.0,D,1.0,4,1.0,0.0,0.0,1.0,0.0,G,curve,no,yes,no,0.0,no,Day,2022.0,1,16,Sunday,2,10.0,0.0,6-12,1,Single Vehicle,False,4,Vehicle Overturn/Skidding,False,1,Motorised Two-Wheeler,False,0,Unknown/Out-of-master,True,1,0,Grievous
560.0,Chadayamangalam,238/2022,8.823372,76.882816,32.5,2.0,2021-04-08,Thursday,April,2021,15.3,D,2.0,1,6.0,1.0,0.0,0.0,1.0,M,curve,no,yes,yes,0.0,yes,Day,2021.0,4,8,Thursday,14,15.0,30.0,12-18,2,Vehicle to Vehicle,False,1,Hit from Back,False,6,Goods Auto/Goods Pick-up Van,False,1,Motorised Two-Wheeler,False,0,0,Minor
561.0,Chadayamangalam,340/2022,8.848253,76.877432,35.4,1.0,2022-02-04,Friday,February,2022,18.3,N,3.0,8,1.0,11.0,0.0,0.0,1.0,M,straight,no,yes,no,0.0,no,Night,2022.0,2,4,Friday,5,18.0,30.0,18-24,3,Vehicle to Pedestrian,False,8,Hit Pedestrian,False,1,Motorised Two-Wheeler,False,11,Pedestrian,False,0,1,Minor
562.0,Chadayamangalam,352/2022,8.841819,76.879764,34.6,2.0,2022-02-22,Tuesday,February,2022,9.0,D,2.0,2,1.0,1.0,0.0,1.0,1.0,G,straight,no,yes,no,2.0,no,Day,2022.0,2,22,Tuesday,8,9.0,0.0,6-12,2,Vehicle to Vehicle,False,2,Hit from Side,False,1,Motorised Two-Wheeler,False,1,Motorised Two-Wheeler,False,0,0,Grievous
563.0,Chadayamangalam,364/2022,8.869386,76.870377,38.0,1.0,2021-12-17,Friday,December,2021,21.3,N,3.0,8,1.0,11.0,0.0,0.0,1.0,M,straight,no,yes,no,2.0,no,Night,2021.0,12,17,Friday,50,21.0,30.0,18-24,3,Vehicle to Pedestrian,False,8,Hit Pedestrian,False,1,Motorised Two-Wheeler,False,11,Pedestrian,False,0,1,Minor
564.0,Chadayamangalam,369/2022,8.824179,76.882255,32.6,2.0,2022-03-02,Wednesday,March,2022,17.0,D,2.0,1,3.0,1.0,0.0,1.0,0.0,G,curve,no,yes,yes,0.0,yes,Day,2022.0,3,2,Wednesday,9,17.0,0.0,12-18,2,Vehicle to Vehicle,False,1,Hit from Back,False,3,Car/Jeep/Taxi,False,1,Motorised Two-Wheeler,False,0,0,Grievous
565.0,Chadayamangalam,377/2022,8.872559,76.869487,38.4,1.0,2022-02-28,Monday,February,2022,15.3,D,3.0,8,3.0,11.0,0.0,0.0,1.0,M,curve,no,yes,yes,0.0,yes,Day,2022.0,2,28,Monday,9,15.0,30.0,12-18,3,Vehicle to Pedestrian,False,8,Hit Pedestrian,False,3,Car/Jeep/Taxi,False,11,Pedestrian,False,0,0,Minor
566.0,Chadayamangalam,404/2022,8.898438,76.859927,41.9,1.0,2022-03-03,Thursday,March,2022,12.15,D,3.0,8,3.0,11.0,0.0,1.0,0.0,G,straight,no,yes,yes,1.0,no,Day,2022.0,3,3,Thursday,9,12.0,15.0,12-18,3,Vehicle to Pedestrian,False,8,Hit Pedestrian,False,3,Car/Jeep/Taxi,False,11,Pedestrian,False,0,0,Grievous
567.0,Chadayamangalam,414/2022,8.869386,76.870377,38.0,2.0,2022-03-10,Thursday,March,2022,14.3,D,2.0,5,6.0,1.0,0.0,1.0,0.0,G,straight,no,yes,no,2.0,no,Day,2022.0,3,10,Thursday,10,14.0,30.0,12-18,2,Vehicle to Vehicle,False,5,Head On Collision,False,6,Goods Auto/Goods Pick-up Van,False,1,Motorised Two-Wheeler,False,0,0,Grievous
568.0,Chadayamangalam,439/2022,8.821805,76.882696,32.4,2.0,2022-03-14,Monday,March,2022,19.0,N,2.0,2,2.0,1.0,0.0,1.0,0.0,G,curve,no,yes,yes,0.0,no,Night,2022.0,3,14,Monday,11,19.0,0.0,18-24,2,Vehicle to Vehicle,False,2,Hit from Side,False,2,Passenger Auto,False,1,Motorised Two-Wheeler,False,0,1,Grievous
569.0,Chadayamangalam,452/2022,8.897668,76.860439,41.8,2.0,2022-03-15,Tuesday,March,2022,17.0,D,2.0,5,5.0,1.0,0.0,1.0,0.0,G,straight,no,yes,yes,0.0,yes,Day,2022.0,3,15,Tuesday,11,17.0,0.0,12-18,2,Vehicle to Vehicle,False,5,Head On Collision,False,5,Mini Bus/Passenger Tempo/Passenger Van,False,1,Motorised Two-Wheeler,False,0,0,Grievous
570.0,Chadayamangalam,523/2022,8.876476,76.867983,38.9,2.0,2022-04-01,Friday,April,2022,12.3,D,2.0,5,4.0,1.0,0.0,1.0,0.0,G,straight,no,yes,no,0.0,no,Day,2022.0,4,1,Friday,13,12.0,30.0,12-18,2,Vehicle to Vehicle,False,5,Head On Collision,False,4,Bus,False,1,Motorised Two-Wheeler,False,0,0,Grievous
571.0,Chadayamangalam,536/2022,8.849823,76.876223,35.6,2.0,2021-11-21,Sunday,November,2021,19.0,N,2.0,5,3.0,1.0,0.0,1.0,0.0,G,curve,no,yes,no,0.0,no,Night,2021.0,11,21,Sunday,46,19.0,0.0,18-24,2,Vehicle to Vehicle,False,5,Head On Collision,False,3,Car/Jeep/Taxi,False,1,Motorised Two-Wheeler,False,1,1,Grievous
572.0,Chadayamangalam,565/2022,8.841881,76.879505,34.6,1.0,2022-02-14,Monday,February,2022,17.3,D,3.0,8,3.0,11.0,0.0,0.0,1.0,M,straight,no,yes,no,2.0,no,Day,2022.0,2,14,Monday,7,17.0,30.0,12-18,3,Vehicle to Pedestrian,False,8,Hit Pedestrian,False,3,Car/Jeep/Taxi,False,11,Pedestrian,False,0,0,Minor
573.0,Chadayamangalam,578/2022,8.869386,76.870377,38.0,2.0,2022-04-14,Thursday,April,2022,15.3,D,2.0,5,3.0,1.0,0.0,1.0,0.0,G,straight,no,yes,no,2.0,no,Day,2022.0,4,14,Thursday,15,15.0,30.0,12-18,2,Vehicle to Vehicle,False,5,Head On Collision,False,3,Car/Jeep/Taxi,False,1,Motorised Two-Wheeler,False,0,0,Grievous
574.0,Chadayamangalam,588/2022,8.87314179161846,76.8693563649041,38.5,2.0,2022-04-14,Thursday,April,2022,9.0,D,2.0,2,1.0,1.0,0.0,0.0,2.0,M,straight,no,yes,yes,0.0,no,Day,2022.0,4,14,Thursday,15,9.0,0.0,6-12,2,Vehicle to Vehicle,False,2,Hit from Side,False,1,Motorised Two-Wheeler,False,1,Motorised Two-Wheeler,False,0,0,Minor
575.0,Chadayamangalam,635/2022,8.891607,76.86591,40.9,2.0,2022-04-22,Friday,April,2022,0.3,N,2.0,5,3.0,3.0,0.0,1.0,1.0,G,straight,no,yes,no,0.0,no,Night,2022.0,4,22,Friday,16,0.0,30.0,0-6,2,Vehicle to Vehicle,False,5,Head On Collision,False,3,Car/Jeep/Taxi,False,3,Car/Jeep/Taxi,False,0,1,Grievous
576.0,Chadayamangalam,685/2022,8.893133,76.864022,41.1,1.0,2022-04-28,Thursday,April,2022,15.3,D,3.0,8,1.0,11.0,0.0,0.0,2.0,M,straight,no,yes,no,3.0,no,Day,2022.0,4,28,Thursday,17,15.0,30.0,12-18,3,Vehicle to Pedestrian,False,8,Hit Pedestrian,False,1,Motorised Two-Wheeler,False,11,Pedestrian,False,0,0,Minor
577.0,Chadayamangalam,740/2022,8.864612,76.870787,37.5,2.0,2022-05-09,Monday,May,2022,5.0,N,2.0,3,3.0,8.0,0.0,0.0,1.0,M,curve,no,yes,no,0.0,no,Night,2022.0,5,9,Monday,19,5.0,0.0,0-6,2,Vehicle to Vehicle,False,3,Run Off Road,False,3,Car/Jeep/Taxi,False,8,Truck/Lorry,False,0,1,Minor
578.0,Chadayamangalam,746/2022,8.888394,76.867677,40.4,2.0,2022-04-28,Thursday,April,2022,18.5,N,2.0,5,3.0,1.0,0.0,2.0,1.0,G,curve,no,yes,yes,0.0,no,Night,2022.0,4,28,Thursday,17,18.0,50.0,18-24,2,Vehicle to Vehicle,False,5,Head On Collision,False,3,Car/Jeep/Taxi,False,1,Motorised Two-Wheeler,False,0,1,Grievous
579.0,Chadayamangalam,747/2022,8.809537,76.882949,30.9,2.0,2022-04-30,Saturday,April,2022,16.3,D,2.0,5,3.0,1.0,0.0,0.0,1.0,M,curve,no,yes,no,0.0,no,Day,2022.0,4,30,Saturday,17,16.0,30.0,12-18,2,Vehicle to Vehicle,False,5,Head On Collision,False,3,Car/Jeep/Taxi,False,1,Motorised Two-Wheeler,False,1,0,Minor
580.0,Chadayamangalam,753/2022,8.859773,76.874126,36.8,2.0,2022-05-05,Thursday,May,2022,13.45,D,2.0,5,4.0,2.0,0.0,1.0,0.0,G,straight,no,yes,no,1.0,no,Day,2022.0,5,5,Thursday,18,13.0,45.0,12-18,2,Vehicle to Vehicle,False,5,Head On Collision,False,4,Bus,False,2,Passenger Auto,False,0,0,Grievous
581.0,Chadayamangalam,768/2022,8.892347,76.864802,41.0,1.0,2022-04-10,Sunday,April,2022,19.58,N,3.0,8,3.0,11.0,0.0,1.0,0.0,G,straight,no,yes,no,2.0,no,Night,2022.0,4,10,Sunday,14,19.0,58.0,18-24,3,Vehicle to Pedestrian,False,8,Hit Pedestrian,False,3,Car/Jeep/Taxi,False,11,Pedestrian,False,1,1,Grievous
582.0,Chadayamangalam,770/2022,8.828879,76.881767,33.1,2.0,2022-04-25,Monday,April,2022,18.5,N,2.0,1,1.0,1.0,0.0,1.0,0.0,G,curve,no,yes,no,1.0,no,Night,2022.0,4,25,Monday,17,18.0,50.0,18-24,2,Vehicle to Vehicle,False,1,Hit from Back,False,1,Motorised Two-Wheeler,False,1,Motorised Two-Wheeler,False,0,1,Grievous
583.0,Chadayamangalam,776/2022,8.874188,76.86935,38.6,1.0,2022-05-19,Thursday,May,2022,19.0,N,3.0,8,1.0,11.0,0.0,1.0,0.0,G,straight,no,yes,yes,3.0,no,Night,2022.0,5,19,Thursday,20,19.0,0.0,18-24,3,Vehicle to Pedestrian,False,8,Hit Pedestrian,False,1,Motorised Two-Wheeler,False,11,Pedestrian,False,0,1,Grievous
584.0,Chadayamangalam,822/2022,8.841881,76.879505,34.6,2.0,2022-05-27,Friday,May,2022,15.15,D,2.0,1,3.0,1.0,0.0,1.0,1.0,G,straight,no,yes,no,2.0,no,Day,2022.0,5,27,Friday,21,15.0,15.0,12-18,2,Vehicle to Vehicle,False,1,Hit from Back,False,3,Car/Jeep/Taxi,False,1,Motorised Two-Wheeler,False,0,0,Grievous
585.0,Chadayamangalam,814/2022,8.829167,76.881849,33.2,2.0,2022-05-21,Saturday,May,2022,15.0,D,2.0,5,3.0,3.0,0.0,4.0,1.0,G,straight,no,yes,no,1.0,no,Day,2022.0,5,21,Saturday,20,15.0,0.0,12-18,2,Vehicle to Vehicle,False,5,Head On Collision,False,3,Car/Jeep/Taxi,False,3,Car/Jeep/Taxi,False,1,0,Grievous
586.0,Chadayamangalam,890/2022,8.859773,76.874126,36.8,1.0,2021-02-12,Friday,February,2021,18.0,D,1.0,4,1.0,0.0,0.0,1.0,0.0,G,straight,no,yes,no,1.0,no,Day,2021.0,2,12,Friday,6,18.0,0.0,18-24,1,Single Vehicle,False,4,Vehicle Overturn/Skidding,False,1,Motorised Two-Wheeler,False,0,Unknown/Out-of-master,True,0,0,Grievous
587.0,Chadayamangalam,910/2022,8.872976,76.869335,38.4,2.0,2022-06-17,Friday,June,2022,18.3,N,2.0,2,3.0,1.0,0.0,1.0,0.0,G,curve,no,yes,yes,0.0,yes,Night,2022.0,6,17,Friday,24,18.0,30.0,18-24,2,Vehicle to Vehicle,False,2,Hit from Side,False,3,Car/Jeep/Taxi,False,1,Motorised Two-Wheeler,False,0,1,Grievous
588.0,Chadayamangalam,917/2022,8.881996,76.868576,39.6,2.0,2022-06-16,Thursday,June,2022,7.3,D,2.0,5,3.0,1.0,0.0,1.0,0.0,G,straight,no,yes,no,0.0,no,Day,2022.0,6,16,Thursday,24,7.0,30.0,6-12,2,Vehicle to Vehicle,False,5,Head On Collision,False,3,Car/Jeep/Taxi,False,1,Motorised Two-Wheeler,False,0,0,Grievous
